date,contract,close
2026-01-05,LH2601,11490.00
2026-01-05,LH2603,11660.00
2026-01-05,LH2605,12110.00
2026-01-05,LH2607,12800.00
2026-01-05,LH2609,13710.00
2026-01-05,LH2611,13770.00
2026-01-06,LH2601,11525.00
2026-01-06,LH2603,11810.00
2026-01-06,LH2605,12255.00
2026-01-06,LH2607,12940.00
2026-01-06,LH2609,13890.00
2026-01-06,LH2611,13890.00
2026-01-07,LH2601,11830.00
2026-01-07,LH2603,11785.00
2026-01-07,LH2605,12260.00
2026-01-07,LH2607,12940.00
2026-01-07,LH2609,13885.00
2026-01-07,LH2611,13875.00
2026-01-08,LH2601,11880.00
2026-01-08,LH2603,11720.00
2026-01-08,LH2605,12200.00
2026-01-08,LH2607,12860.00
2026-01-08,LH2609,13770.00
2026-01-08,LH2611,13785.00
2026-01-09,LH2601,11950.00
2026-01-09,LH2603,11770.00
2026-01-09,LH2605,12215.00
2026-01-09,LH2607,12895.00
2026-01-09,LH2609,13815.00
2026-01-09,LH2611,13745.00
2026-01-12,LH2601,12110.00
2026-01-12,LH2603,11735.00
2026-01-12,LH2605,12165.00
2026-01-12,LH2607,12825.00
2026-01-12,LH2609,13730.00
2026-01-12,LH2611,13705.00
2026-01-13,LH2601,12160.00
2026-01-13,LH2603,11795.00
2026-01-13,LH2605,12170.00
2026-01-13,LH2607,12830.00
2026-01-13,LH2609,13750.00
2026-01-13,LH2611,13660.00
2026-01-14,LH2601,12180.00
2026-01-14,LH2603,12010.00
2026-01-14,LH2605,12260.00
2026-01-14,LH2607,12885.00
2026-01-14,LH2609,13825.00
2026-01-14,LH2611,13760.00
2026-01-15,LH2601,12100.00
2026-01-15,LH2603,11950.00
2026-01-15,LH2605,12210.00
2026-01-15,LH2607,12830.00
2026-01-15,LH2609,13745.00
2026-01-15,LH2611,13715.00
2026-01-16,LH2601,12100.00
2026-01-16,LH2603,11980.00
2026-01-16,LH2605,12155.00
2026-01-16,LH2607,12760.00
2026-01-16,LH2609,13660.00
2026-01-16,LH2611,13655.00
2026-01-19,LH2601,12140.00
2026-01-19,LH2603,11705.00
2026-01-19,LH2605,11945.00
2026-01-19,LH2607,12605.00
2026-01-19,LH2609,13430.00
2026-01-19,LH2611,13445.00
2026-01-20,LH2601,12030.00
2026-01-20,LH2603,11550.00
2026-01-20,LH2605,11895.00
2026-01-20,LH2607,12555.00
2026-01-20,LH2609,13450.00
2026-01-20,LH2611,13415.00
2026-01-21,LH2601,11900.00
2026-01-21,LH2603,11470.00
2026-01-21,LH2605,11820.00
2026-01-21,LH2607,12450.00
2026-01-21,LH2609,13375.00
2026-01-21,LH2611,13390.00
2026-01-22,LH2601,11900.00
2026-01-22,LH2603,11600.00
2026-01-22,LH2605,11895.00
2026-01-22,LH2607,12555.00
2026-01-22,LH2609,13460.00
2026-01-22,LH2611,13430.00
2026-01-23,LH2601,12000.00
2026-01-23,LH2603,11565.00
2026-01-23,LH2605,11850.00
2026-01-23,LH2607,12470.00
2026-01-23,LH2609,13390.00
2026-01-23,LH2611,13360.00
2026-01-26,LH2601,11810.00
2026-01-26,LH2603,11465.00
2026-01-26,LH2605,11760.00
2026-01-26,LH2607,12425.00
2026-01-26,LH2609,13365.00
2026-01-26,LH2611,13335.00
2026-01-27,LH2601,12690.00
2026-01-27,LH2603,11285.00
2026-01-27,LH2605,11695.00
2026-01-27,LH2607,12375.00
2026-01-27,LH2609,13320.00
2026-01-27,LH2611,13305.00
2026-01-28,LH2603,11270.00
2026-01-28,LH2605,11695.00
2026-01-28,LH2607,12370.00
2026-01-28,LH2609,13280.00
2026-01-28,LH2611,13285.00
2026-01-28,LH2701,13300.00
2026-01-29,LH2603,11165.00
2026-01-29,LH2605,11640.00
2026-01-29,LH2607,12305.00
2026-01-29,LH2609,13235.00
2026-01-29,LH2611,13220.00
2026-01-29,LH2701,13345.00
2026-01-30,LH2603,11220.00
2026-01-30,LH2605,11650.00
2026-01-30,LH2607,12345.00
2026-01-30,LH2609,13305.00
2026-01-30,LH2611,13235.00
2026-01-30,LH2701,13370.00
2026-02-02,LH2603,11220.00
2026-02-02,LH2605,11635.00
2026-02-02,LH2607,12230.00
2026-02-02,LH2609,13170.00
2026-02-02,LH2611,13090.00
2026-02-02,LH2701,13350.00
2026-02-03,LH2603,11160.00
2026-02-03,LH2605,11600.00
2026-02-03,LH2607,12170.00
2026-02-03,LH2609,13055.00
2026-02-03,LH2611,12960.00
2026-02-03,LH2701,13255.00
2026-02-04,LH2603,11150.00
2026-02-04,LH2605,11735.00
2026-02-04,LH2607,12295.00
2026-02-04,LH2609,13210.00
2026-02-04,LH2611,13130.00
2026-02-04,LH2701,13355.00
2026-02-05,LH2603,10995.00
2026-02-05,LH2605,11685.00
2026-02-05,LH2607,12245.00
2026-02-05,LH2609,13135.00
2026-02-05,LH2611,13030.00
2026-02-05,LH2701,13325.00
2026-02-06,LH2603,10860.00
2026-02-06,LH2605,11625.00
2026-02-06,LH2607,12195.00
2026-02-06,LH2609,13100.00
2026-02-06,LH2611,13025.00
2026-02-06,LH2701,13200.00
2026-02-09,LH2603,10645.00
2026-02-09,LH2605,11565.00
2026-02-09,LH2607,12130.00
2026-02-09,LH2609,13095.00
2026-02-09,LH2611,13010.00
2026-02-09,LH2701,13200.00
2026-02-10,LH2603,10745.00
2026-02-10,LH2605,11470.00
2026-02-10,LH2607,12160.00
2026-02-10,LH2609,13115.00
2026-02-10,LH2611,13030.00
2026-02-10,LH2701,13205.00
2026-02-11,LH2603,10845.00
2026-02-11,LH2605,11555.00
2026-02-11,LH2607,12260.00
2026-02-11,LH2609,13210.00
2026-02-11,LH2611,13150.00
2026-02-11,LH2701,13285.00
2026-02-12,LH2603,10895.00
2026-02-12,LH2605,11540.00
2026-02-12,LH2607,12230.00
2026-02-12,LH2609,13180.00
2026-02-12,LH2611,13160.00
2026-02-12,LH2701,13280.00
2026-02-13,LH2603,10740.00
2026-02-13,LH2605,11500.00
2026-02-13,LH2607,12220.00
2026-02-13,LH2609,13140.00
2026-02-13,LH2611,13065.00
2026-02-13,LH2701,13140.00
2026-02-24,LH2603,10355.00
2026-02-24,LH2605,11265.00
2026-02-24,LH2607,12085.00
2026-02-24,LH2609,13080.00
2026-02-24,LH2611,13040.00
2026-02-24,LH2701,13145.00
2026-02-25,LH2603,10395.00
2026-02-25,LH2605,11465.00
2026-02-25,LH2607,12345.00
2026-02-25,LH2609,13310.00
2026-02-25,LH2611,13265.00
2026-02-25,LH2701,13340.00
2026-02-26,LH2603,10120.00
2026-02-26,LH2605,11395.00
2026-02-26,LH2607,12360.00
2026-02-26,LH2609,13330.00
2026-02-26,LH2611,13280.00
2026-02-26,LH2701,13390.00
2026-02-27,LH2603,10630.00
2026-02-27,LH2605,11485.00
2026-02-27,LH2607,12510.00
2026-02-27,LH2609,13495.00
2026-02-27,LH2611,13465.00
2026-02-27,LH2701,13505.00
2026-03-02,LH2603,10100.00
2026-03-02,LH2605,11220.00
2026-03-02,LH2607,12350.00
2026-03-02,LH2609,13300.00
2026-03-02,LH2611,13255.00
2026-03-02,LH2701,13380.00
2026-03-03,LH2603,10100.00
2026-03-03,LH2605,11150.00
2026-03-03,LH2607,12370.00
2026-03-03,LH2609,13320.00
2026-03-03,LH2611,13305.00
2026-03-03,LH2701,13430.00
2026-03-04,LH2603,10105.00
2026-03-04,LH2605,11130.00
2026-03-04,LH2607,12245.00
2026-03-04,LH2609,13230.00
2026-03-04,LH2611,13305.00
2026-03-04,LH2701,13545.00
2026-03-05,LH2603,10180.00
2026-03-05,LH2605,11140.00
2026-03-05,LH2607,12205.00
2026-03-05,LH2609,13220.00
2026-03-05,LH2611,13490.00
2026-03-05,LH2701,13775.00
2026-03-06,LH2603,10150.00
2026-03-06,LH2605,11160.00
2026-03-06,LH2607,12180.00
2026-03-06,LH2609,13140.00
2026-03-06,LH2611,13380.00
2026-03-06,LH2701,13760.00
2026-03-09,LH2605,11200.00
2026-03-09,LH2607,12300.00
2026-03-09,LH2609,13210.00
2026-03-09,LH2611,13400.00
2026-03-09,LH2701,13810.00
2026-03-10,LH2603,10110.00
2026-03-10,LH2605,11180.00
2026-03-10,LH2607,12285.00
2026-03-10,LH2609,13200.00
2026-03-10,LH2611,13350.00
2026-03-10,LH2701,13790.00
2026-03-11,LH2605,11170.00
2026-03-11,LH2607,12310.00
2026-03-11,LH2609,13185.00
2026-03-11,LH2611,13345.00
2026-03-11,LH2701,13785.00
2026-03-12,LH2603,10180.00
2026-03-12,LH2605,11130.00
2026-03-12,LH2607,12290.00
2026-03-12,LH2609,13125.00
2026-03-12,LH2611,13320.00
2026-03-12,LH2701,13790.00
2026-03-13,LH2603,10180.00
2026-03-13,LH2605,11150.00
2026-03-13,LH2607,12345.00
2026-03-13,LH2609,13165.00
2026-03-13,LH2611,13370.00
2026-03-13,LH2701,13820.00
2026-03-16,LH2605,10810.00
2026-03-16,LH2607,12140.00
2026-03-16,LH2609,13060.00
2026-03-16,LH2611,13320.00
2026-03-16,LH2701,13840.00
2026-03-17,LH2603,10180.00
2026-03-17,LH2605,10695.00
2026-03-17,LH2607,12115.00
2026-03-17,LH2609,13085.00
2026-03-17,LH2611,13295.00
2026-03-17,LH2701,13810.00
2026-03-18,LH2603,9565.00
2026-03-18,LH2605,10475.00
2026-03-18,LH2607,11650.00
2026-03-18,LH2609,12640.00
2026-03-18,LH2611,12865.00
2026-03-18,LH2701,13490.00
2026-03-19,LH2603,9600.00
2026-03-19,LH2605,10335.00
2026-03-19,LH2607,11370.00
2026-03-19,LH2609,12500.00
2026-03-19,LH2611,12710.00
2026-03-19,LH2701,13405.00
2026-03-20,LH2605,10220.00
2026-03-20,LH2607,11280.00
2026-03-20,LH2609,12575.00
2026-03-20,LH2611,12805.00
2026-03-20,LH2701,13545.00
2026-03-23,LH2603,9300.00
2026-03-23,LH2605,9980.00
2026-03-23,LH2607,11030.00
2026-03-23,LH2609,12300.00
2026-03-23,LH2611,12725.00
2026-03-23,LH2701,13595.00
2026-03-24,LH2603,9000.00
2026-03-24,LH2605,10045.00
2026-03-24,LH2607,11250.00
2026-03-24,LH2609,12485.00
2026-03-24,LH2611,12905.00
2026-03-24,LH2701,13645.00
2026-03-25,LH2605,9980.00
2026-03-25,LH2607,11310.00
2026-03-25,LH2609,12595.00
2026-03-25,LH2611,13010.00
2026-03-25,LH2701,13645.00
2026-03-26,LH2603,9000.00
2026-03-26,LH2605,9835.00
2026-03-26,LH2607,11250.00
2026-03-26,LH2609,12540.00
2026-03-26,LH2611,12955.00
2026-03-26,LH2701,13585.00
2026-03-27,LH2605,9965.00
2026-03-27,LH2607,11180.00
2026-03-27,LH2609,12520.00
2026-03-27,LH2611,12905.00
2026-03-27,LH2701,13425.00
2026-03-27,LH2703,13195.00
2026-03-30,LH2605,10005.00
2026-03-30,LH2607,11065.00
2026-03-30,LH2609,12275.00
2026-03-30,LH2611,12645.00
2026-03-30,LH2701,13165.00
2026-03-30,LH2703,12945.00
2026-03-31,LH2605,9770.00
2026-03-31,LH2607,10730.00
2026-03-31,LH2609,11810.00
2026-03-31,LH2611,12180.00
2026-03-31,LH2701,12915.00
2026-03-31,LH2703,12565.00
2026-04-01,LH2605,9610.00
2026-04-01,LH2607,10605.00
2026-04-01,LH2609,11865.00
2026-04-01,LH2611,12250.00
2026-04-01,LH2701,13015.00
2026-04-01,LH2703,12570.00
2026-04-02,LH2605,9605.00
2026-04-02,LH2607,10590.00
2026-04-02,LH2609,11790.00
2026-04-02,LH2611,12190.00
2026-04-02,LH2701,12985.00
2026-04-02,LH2703,12680.00
2026-04-03,LH2605,9380.00
2026-04-03,LH2607,10400.00
2026-04-03,LH2609,11650.00
2026-04-03,LH2611,12105.00
2026-04-03,LH2701,12995.00
2026-04-03,LH2703,12775.00
2026-04-07,LH2605,9210.00
2026-04-07,LH2607,10230.00
2026-04-07,LH2609,11550.00
2026-04-07,LH2611,12025.00
2026-04-07,LH2701,12880.00
2026-04-07,LH2703,12755.00
2026-04-08,LH2605,9265.00
2026-04-08,LH2607,10505.00
2026-04-08,LH2609,11815.00
2026-04-08,LH2611,12160.00
2026-04-08,LH2701,12960.00
2026-04-08,LH2703,12810.00
2026-04-09,LH2605,9195.00
2026-04-09,LH2607,10435.00
2026-04-09,LH2609,11805.00
2026-04-09,LH2611,12205.00
2026-04-09,LH2701,12965.00
2026-04-09,LH2703,12825.00
2026-04-10,LH2605,9140.00
2026-04-10,LH2607,10390.00
2026-04-10,LH2609,11760.00
2026-04-10,LH2611,12240.00
2026-04-10,LH2701,12990.00
2026-04-10,LH2703,12805.00
2026-04-13,LH2605,9055.00
2026-04-13,LH2607,10225.00
2026-04-13,LH2609,11745.00
2026-04-13,LH2611,12270.00
2026-04-13,LH2701,12965.00
2026-04-13,LH2703,12765.00
2026-04-14,LH2605,9185.00
2026-04-14,LH2607,10410.00
2026-04-14,LH2609,11925.00
2026-04-14,LH2611,12390.00
2026-04-14,LH2701,12975.00
2026-04-14,LH2703,12725.00
2026-04-15,LH2605,9475.00
2026-04-15,LH2607,10930.00
2026-04-15,LH2609,12250.00
2026-04-15,LH2611,12570.00
2026-04-15,LH2701,13040.00
2026-04-15,LH2703,12750.00
2026-04-16,LH2605,9515.00
2026-04-16,LH2607,11125.00
2026-04-16,LH2609,12305.00
2026-04-16,LH2611,12590.00
2026-04-16,LH2701,13165.00
2026-04-16,LH2703,12785.00
2026-04-17,LH2605,9815.00
2026-04-17,LH2607,11280.00
2026-04-17,LH2609,12340.00
2026-04-17,LH2611,12580.00
2026-04-17,LH2701,13155.00
2026-04-17,LH2703,12725.00
2026-04-20,LH2605,9685.00
2026-04-20,LH2607,11275.00
2026-04-20,LH2609,12395.00
2026-04-20,LH2611,12620.00
2026-04-20,LH2701,13185.00
2026-04-20,LH2703,12710.00
2026-04-21,LH2605,9495.00
2026-04-21,LH2607,11115.00
2026-04-21,LH2609,12205.00
2026-04-21,LH2611,12470.00
2026-04-21,LH2701,13065.00
2026-04-21,LH2703,12655.00
2026-04-22,LH2605,9690.00
2026-04-22,LH2607,11410.00
2026-04-22,LH2609,12450.00
2026-04-22,LH2611,12650.00
2026-04-22,LH2701,13150.00
2026-04-22,LH2703,12705.00
2026-04-23,LH2605,9750.00
2026-04-23,LH2607,11460.00
2026-04-23,LH2609,12545.00
2026-04-23,LH2611,12735.00
2026-04-23,LH2701,13155.00
2026-04-23,LH2703,12690.00
2026-04-24,LH2605,9710.00
2026-04-24,LH2607,11405.00
2026-04-24,LH2609,12525.00
2026-04-24,LH2611,12765.00
2026-04-24,LH2701,13150.00
2026-04-24,LH2703,12620.00
2026-04-27,LH2605,9460.00
2026-04-27,LH2607,11215.00
2026-04-27,LH2609,12380.00
2026-04-27,LH2611,12725.00
2026-04-27,LH2701,13155.00
2026-04-27,LH2703,12640.00
2026-04-28,LH2605,9355.00
2026-04-28,LH2607,11365.00
2026-04-28,LH2609,12560.00
2026-04-28,LH2611,12940.00
2026-04-28,LH2701,13255.00
2026-04-28,LH2703,12710.00
2026-04-29,LH2605,9310.00
2026-04-29,LH2607,11260.00
2026-04-29,LH2609,12530.00
2026-04-29,LH2611,13035.00
2026-04-29,LH2701,13400.00
2026-04-29,LH2703,12935.00
2026-04-30,LH2605,9400.00
2026-04-30,LH2607,11350.00
2026-04-30,LH2609,12745.00
2026-04-30,LH2611,13180.00
2026-04-30,LH2701,13660.00
2026-04-30,LH2703,13305.00
2026-05-06,LH2605,9600.00
2026-05-06,LH2607,11365.00
2026-05-06,LH2609,12710.00
2026-05-06,LH2611,13080.00
2026-05-06,LH2701,13600.00
2026-05-06,LH2703,13275.00
2026-05-07,LH2605,9700.00
2026-05-07,LH2607,11380.00
2026-05-07,LH2609,12605.00
2026-05-07,LH2611,12900.00
2026-05-07,LH2701,13460.00
2026-05-07,LH2703,13140.00
2026-05-08,LH2605,9650.00
2026-05-08,LH2607,11215.00
2026-05-08,LH2609,12360.00
2026-05-08,LH2611,12785.00
2026-05-08,LH2701,13360.00
2026-05-08,LH2703,13100.00
